rating,title,text,price,review_date
92.0,El Salvador La Lagunita,"Deeply chocolaty, richly sweet. Dark chocolate, cantaloupe, pipe tobacco, hazelnut, cedar in aroma and cup. Sweet structure with brisk acidity; crisp, velvety mouthfeel. The finish consolidates to notes of pipe tobacco and hazelnut.",Price: $25.99/10 ounces, Nov 2022
92.0,El Salvador Finca Santa Elena El Corozo Pacamara,"Crisply chocolaty, sweetly herb-toned. Cocoa nib, orange zest, fennel, red apple, cedar in aroma and cup. Sweet-savory structure with citrusy acidity; very full, satiny mouthfeel. The finish leads with notes of cocoa nib and orange zest.",$550/200 grams, Nov 2022
92.0,Panama Mama Cata Typica,"Crisply sweet, deeply nut-toned. Dried apricot, saltwater taffy, cocoa powder, cashew, maple syrup in aroma and cup. Sweet-savory structure with brisk acidity; delicate, silky mouthfeel. Cocoa powder and cashew lead in the quiet finish.",$380/200 grams, Nov 2022
91.0,Guatemala Valentón,"Very sweet, intricately balanced. Milk chocolate, pineapple, nougat, oak, lily in aroma and cup. Sweet-toned with very balanced acidity; crisp, lightly satiny mouthfeel. There’s a hint of sweet chocolate in the gently drying finish that’s predominated by aromatic wood notes.",Price: $20.00/12 ounces, Nov 2022
92.0,Nicaragua Jinotega Fincas Mierisch La Escondida Red Pacamara,"Sweetly savory, uniquely composed. Ripe tomato, Meyer lemon zest, caramel, baking chocolate, redwood in aroma and cup. Savory-sweet structure with delicately bright acidity; silky-smooth mouthfeel. Caramel and Meyer lemon zest lead in the sweetly tart finish.",Price: $16.00/150 grams, Nov 2022
91.0,Costa Rica Finca San Luis,"Crisp, nutty, sweetly herb-toned. Lemon balm, praline, golden raisin, baking chocolate, magnolia in aroma and cup. Richly sweet structure with balanced, high-toned acidity; crisp, satiny mouthfeel. Gently drying finish with notes of cocoa-toned raisin and praline.",Price: $20.00/12 ounces, Nov 2022
95.0,Colombia Finca Samboni Gesha Anaerobic Natural,"Intensely aromatic, richly sweet-tart. Raspberry jam, star jasmine, tangerine zest, oak forest, amber in aroma and cup. High-toned, sweet-tart structure with vibrant, juicy acidity; plush, syrupy mouthfeel. The long, resonant finish centers around notes of raspberry and star jasmine.",Price: $45.00/12 ounces, Nov 2022
94.0,Colombia Tres Dragones,"Richly chocolaty, sweetly fermenty. Cherry cordial, chocolate fudge, almond brittle, fine musk, gardenia in aroma and cup. Brightly sweet structure with juicy, winey acidity; full, viscous mouthfeel. Crisply chocolaty, fruity finish with a whisper of alcohol ferment.",Price: $23.00/10 ounces, Nov 2022
94.0,Rwanda Cyesha Natural,"Sweetly tart, juicy, bright. Red grape, sandalwood, dark chocolate, almond butter, pink grapefruit zest in aroma and small cup. Sweet-tart structure with elegantly high-toned acidity; syrupy-smooth mouthfeel. Crisply fruit-toned finish.",Price: $26.00/12 ounces, Nov 2022
92.0,Ethiopia Guji Hambela Wate Natural G1,"High-toned, crisply sweet-tart. Dried plum, baking chocolate, rhododendron, cedar, almond in aroma and cup. Sweetly tart with brisk acidity; velvety mouthfeel. The fruit-toned finish is supported by notes of cedar and baking chocolate.",$550/250 grams, Nov 2022
93.0,Tinamit Tolimán,"Deeply sweet-tart, chocolate-toned. Dark chocolate, pomegranate, praline, magnolia, a hint of marjoram in aroma and cup. Sweet-tart structure with brisk acidity; very full, syrupy mouthfeel. The finish consolidates to dark chocolate with undertones of praline and magnolia.",Price: $16.00/12 ounces, Nov 2022
92.0,Finca Patzibir,"Crisply sweet, nut-toned. Almond brittle, pie cherry, magnolia, baking chocolate, mesquite in aroma and cup. Sweet structure with brisk acidity; very syrupy mouthfeel. The finish consolidates to notes of baking chocolate, pie cherry and mesquite.",Price: $16.00/12 ounces, Nov 2022
93.0,Proyecto Aurora,"Chocolaty, floral-framed. Cocoa nib, honeysuckle, date, almond butter, cedar in aroma and cup. Sweet structure with bright acidity; satiny-smooth mouthfeel. Cocoa nib and honeysuckle carry the finish, with hints of cedar underneath.",Price: $10.00/12 ounces, Nov 2022
93.0,Finca El Potrero,"High-toned, enticingly sweet. Black cherry, narcissus, cashew butter, lemon verbena, juniper bark in aroma and cup. Sweet-tart structure with bright acidity; crisp, satiny-smooth mouthfeel. The finish leads with notes of black cherry and lemon verbena, rounding to creamy cashew in the long.",Price: $10.00/12 ounces, Nov 2022
93.0,Chacayá Santiago Atitlán,"Vibrantly sweet, subtly nuanced. Apricot, dark chocolate, hazelnut, hyacinth, honey in aroma and cup. Sweetly tart structure with brisk acidity; smooth, syrupy mouthfeel. The chocolaty finish is supported by notes of apricot and hazelnut.",Price: $16.00/12 ounces, Nov 2022
94.0,Espresso No. 3,"Evaluated as espresso. Multi-layered, complex. Dark chocolate, dried apricot, star jasmine, cedar, hazelnut butter in aroma and small cup. Very syrupy mouthfeel; crisply fruit-toned finish. In three parts milk, chocolate and apricot notes are amplified, supported by spicy florals.",Price: $20.00/12 ounces, Nov 2022
94.0,Finca Santa Isabel,"Delicate, deeply aromatic. Bergamot, nectarine, hazelnut, narcissus, cedar in aroma and cup. Sweetly savory with bright, juicy acidity; plush, syrupy mouthfeel. The resonant finish centers around notes of bergamot, narcissus and cedar.",Price: $13.00/12 ounces, Nov 2022
92.0,Esperanza Villa Sarchi,"Crisply sweet, nut-toned. Nutella, peach, lime zest, cedar, magnolia in aroma and cup. Sweet structure with gentle, round acidity; velvety-smooth mouthfeel. Gently drying, very sweet nut-toned finish.",Price: $16.50/12 ounces, Nov 2022
91.0,5a Sur,"Chocolate-toned, richly sweet-savory. Dark chocolate, nasturtium, black ucherry, cedar, agave syrup in aroma and cup. Bittersweet structure with gentle, rounded acidity; plush, syrupy mouthfeel. The quiet finish consolidates to crisp cocoa-toned cedar notes.",Price: $5.00/12 ounces, Nov 2022
91.0,5a Poniente,"Sweetly herb- and spice-toned. Lemon verbena, plum, clove, oak, maple syrup in aroma and cup. Sweetly tart structure with delicate acidity; crisp, silky mouthfeel. The finish leads with notes of lemon verbena and plum in the short, consolidating to fragrant oak in the long.",Price: $5/12 ounces, Nov 2022
95.0,Colombia Castillo Fruit Maceration Series (Passionfruit),"Powerfully aromatic, fruit-centered. Passionfruit, lychee, ginger flower, almond brittle, kumquat in aroma and cup. Sweet-tart structure with apple-toned, malic acidity; full, syrupy mouthfeel. Exceptionally harmonious and integrated finish into the far long.",Price: $25.00/8 ounces, Oct 2022
93.0,Colombia Castillo Fruit Maceration Series (Grape),"Candy-like, chocolaty. Jolly Roger candy, baking chocolate, bay leaf, crisped rice, cedar in aroma and cup. Tart-leaning structure with brisk acidity; full, satiny mouthfeel. Crisply tart finish with fruit and aromatic wood impulses.",Price: $25.00/8 ounces, Oct 2022
94.0,Colombia Castillo Fruit Maceration Series (Strawberry),"Sweetly tart, delicately bright. Berry melange, narcissus, cocoa nib, amber, agave syrup in aroma and cup. Brightly tart with brisk acidity; creamy, viscous mouthfeel. The long, resonant finish is flavor-saturated, balanced and complex.",Price: $25.00/8 ounces, Oct 2022
93.0,Balearic Beans,"Crisply sweet-tart, cocoa-toned. Watermelon candy, cocoa nib, pistachio brittle, fresh-cut fir, brown sugar in aroma and cup. Tart-leaning structure with citric acidity; full, syrupy mouthfeel. Cocoa and pistachio lead the quiet, wood-framed finish.",Price: $25.00/8 ounces, Oct 2022
94.0,Colombia Castillo Fruit Maceration Series (Peach),"Elegantly floral, richly sweet. White peach, lilac, cocoa nib, lemon-thyme, oak in aroma and cup. Sweet-tart structure with vivacious, juicy acidity; plush, syrupy mouthfeel. Gently fruit-driven finish with notes of lemon-thyme and oak.",Price: $25.00/8 ounces, Oct 2022
92.0,El Triunfo Mexico,"A solidly satisfying Mexico cup with crisp chocolate, sweet citrus, and juicy fruit notes.",Price: $17.00/12 ounces, Oct 2022
95.0,Full Moon Espresso,"Evaluated as espresso. Richly floral, elegantly fruit-toned, chocolaty. Star jasmine, passionfruit, dark chocolate fudge, myrrh, a hint of marjoram in aroma and small cup. Very syrupy, viscous mouthfeel; crisply chocolaty, fruit-driven finish. In three parts milk, resonantly aromatic and complex with multiple layers of florals, fruit, chocolate, sweet herbs, and myrrh-like resin.",$550/200 grams, Oct 2022
93.0,World 2.0 Espresso Blend,"Evaluated as espresso. Richly sweet, deeply chocolaty. Pie cherry, baking chocolate, lily, fir, cashew in aroma and small cup. Satiny mouthfeel; fir and cashew lead in the gently drying finish. Chocolate and pie cherry notes intensify in three parts milk.",Price: $10.00/16 ounces, Oct 2022
95.0,Ethiopia Sidama Tamiru Tadesse Anaerobic Natural Special Auction Lot,"Floral-toned, richly fruity. Narcissus, watermelon candy, dark chocolate, amber, clove in aroma and cup. Sweet-savory structure with winey acidity; very full, syrupy mouthfeel. Resonant, long, flavor-laden finish.",Price: $10.00/4 ounces, Oct 2022
93.0,Guatemala Finca Las Victorias Anaerobic Natural,"Sweetly savory, deep-toned. Dark chocolate, red plum, hop flowers, bay leaf, agave syrup in aroma and cup. Crisply sweet structure with savory undertones and gentle acidity; full, viscous mouthfeel. Gently dying finish with leading notes of dark chocolate and hop flowers.",Price: $10.00 / 8 ounces, Oct 2022
94.0,Colombia La Esperanza 100% Geisha Hanashaku,"Delicate, elegant, sweetly bright. Bergamot, cocoa nib, dried mango, freesia, fresh-cut oak in aroma and cup. Sweet-toned structure with sparkling acidity; silky-smooth mouthfeel. Gently citrusy, cocoa-toned finish.",Price: NT$500/4 ounces, Oct 2022
95.0,Kona Extra Fancy,"Richly chocolaty, balanced, deep-toned. Dark chocolate, persimmon, roasted almond butter, magnolia, oak forest in aroma and cup. Sweet in structure with vibrant, apple-like malic acidity; plush, viscous mouthfeel. Integrated, flavor-saturated, very long finish.",Price: $45.99/12 ounces, Oct 2022
94.0,Costa Rica Las Lajas Perla Negra,"Delicately fruit-toned, richly tart. Raspberry jam, cocoa nib, lime, honeysuckle, cedar in aroma and cup. Sweetly tart structure with juicy acidity; syrupy-smooth mouthfeel. The finish consolidates to pleasing berry and citrus notes supported by cocoa nib.",Price: $18.95/12 ounces, Oct 2022
96.0,Ecuador COE 1st place Arashi Typica Mejorado Washed,"Exceptionally balanced, high-toned. Pineapple, bergamot, cocoa nib, hazelnut, ginger flower in aroma and cup. Sweetly tart structure with cleanly fruity, vibrant acidity; very full, richly satiny mouthfeel. Crystalline finish that carries over all the aroma and flavor notes from the cup.",$800/20 grams, Oct 2022
93.0,Burundi Natural Anaerobic Kibingo,"High-toned, sweetly tart. Black cherry, dark chocolate, pink peppercorn, pineapple saltwater taffy, redwood in aroma and cup. Crisply tart structure with brisk acidity; plush, syrupy mouthfeel. Fruity, chocolaty finish with undertones of pink peppercorn.",Price: $23.00/12 ounces, Oct 2022
93.0,Peru Gesha Limited-Release Homer Alarcón Gayoso,"Deeply rich, sweet-toned. Caramel, baking chocolate, cane sugar, red plum, oak in aroma and cup. Sweet structure with gentle, round acidity; very full, syrupy mouthfeel. Crisply chocolaty, caramel-toned finish.",Price: $30.00/ 12 ounces, Oct 2022
95.0,Ethiopia Getu Kurume Natural,"Elegant, delicate, sweetly tart. Bergamot, dried apricot, cocoa nib, sage, star jasmine in aroma and cup. Delicately sweet, balanced structure with high-toned acidity; very smooth, satiny mouthfeel. Resonant, long, flavor-laden finish.",$460/8 ounces, Oct 2022
93.0,Taste Bud Travel Blend Espresso,"Evaluated as espresso. Richly nut-toned, deeply sweet. Almond brittle, date, gardenia, orange zest, cedar in aroma and small cup. Very syrupy, viscous mouthfeel; sweetly nutty finish. In three parts milk, floral tones are amplified, as are rich almond notes.",$550/454 grams, Oct 2022
94.0,Fruit of the Goddess Espresso Blend,"Juicy, sweet-tart, rich and deep. Black cherry, dark chocolate, sage, star jasmine, sandalwood in aroma and small cup. Creamy-smooth mouthfeel; long, lingering, chocolaty finish. Dark chocolate, black cherry and star jasmine take center stage in  cappuccino-scaled milk.",$550/454 grams, Oct 2022
94.0,Papua New Guinea Wahgi Valley Sigri Estate Peaberry,"Spice-toned, exceptionally sweet. Clove, cinnamon, green apple, cocoa nib, magnolia in aroma and cup. Crisply sweet structure with lively acidity; very full, syrupy mouthfeel. The finish consolidates to spice-toned cocoa nib with a hint of magnolia.",$550/227 grams, Oct 2022
95.0,Kenya Nyeri Asali Peaberry,"Rich-toned, deeply sweet-savory. Red currant, mustard flower, cocoa nib, butterscotch, almond butter in aroma and cup. Balanced, richly sweet-savory structure with juicy, bright acidity; plush, syrupy mouthfeel. Finish consolidates to cocoa-toned red currant with butterscotch undertones.",$500/227 grams, Oct 2022
95.0,Ethiopia Gera Estate Anaerobic Natural,"Tropically fruity, richly chocolaty. Dried blueberry, lychee, chocolate fudge, cedar, wisteria in aroma and cup. Brightly sweet-tart structure with winy acidity; plush, very viscous mouthfeel. Long, resonant, flavor-saturated finish.",Price: $22.00/12 ounces, Oct 2022
90.0,Cattleya Blend,"Sweet-toned, gently nut-driven. Hazelnut, pink grapefruit zest, caramel, green apple, cedar in aroma and cup. Sweet-savory structure with pert acidity; crisp, silky mouthfeel. The finish leads with notes of hazelnut and caramel with undertones of green apple.",Price: NT$587/8 ounces, Oct 2022
92.0,Ethiopia Natural Guji Morel Floral Kudume,"Crisp, cocoa-toned, gently floral. Baking chocolate, orange zest, date, hint of narcissus, fir in aroma and cup. Sweet-tart structure with high-toned acidity; crisply satiny mouthfeel. Gently drying finish with aromatic wood notes supported by orange zest.",Price: NT$275/8 ounces, Oct 2022
92.0,Colombia Cauca Finca El Paraiso Rose Tea,"Richly aromatic, gently tart. Tamarind, magnolia, oak, pistachio, pink grapefruit zest in aroma and cup. Sweetly tarty structure with gently brisk acidity; crisp, satiny mouthfeel. Gently drying finish centered around notes of tamarind and oak with pistachio undertones.",Price: NT$840/225g, Oct 2022
90.0,Symphony Costa Rica Canet Caturra Raisin Honey,"Gently sweet, crisply fruity. Dried pear, brown sugar, Brazil nut, fir, baking chocolate in aroma and cup. Sweet structure with brisk acidity; velvety-smooth mouthfeel. Satisfying simple, sweetly nut-driven finish.",Price: NT$600/200g, Oct 2022
93.0,Goddess Costa Rica Dota Tarrazu Geisha Natural,"Sweet-tart, gently herbaceous. Dried apricot, honey, cashew butter, cocoa nib, lemon verbena in aroma and cup. Crisply sweet structure with even-keeled acidity; full, syrupy mouthfeel. The finish consolidates to notes of honey and cashew butter.",Price: $NT$1000/200g, Oct 2022
95.0,Colombia Cauca Finca El Paraiso Double-Anaerobic Flor Lychee,"Resonantly floral, fruit-driven. Narcissus, pomegranate, amber, dark chocolate in aroma and cup. Sweetly tart structure with gently bright, fruity acidity; lively, viscous mouthfeel. The rich, concentrated finish centers around notes of pomegranate and dark chocolate with lush undertones of amber.",Price: $NT$520/200g, Oct 2022
92.0,Costa Rica Canet Musician Mozart,"Spice-toned, richly sweet. Clove, caramel, red apple, honeysuckle, oak in aroma and cup. Sweet structure with brisk acidity; full, syrupy mouthfeel. Finish consolidates to notes of baking spices and caramel.",Price: NT$650/230g, Oct 2022
94.0,Memories of Autumn,"Complex, multi-layered, deeply sweet. Lilac, cocoa nib, apricot, almond, tangerine zest in aroma and cup. Bright, juicy acidity; plush, syrupy mouthfeel. The resonant finish leads with notes of lilac and plum, balanced by suggestions of crisp cocoa.",Price: NT$399/8 ounces, Oct 2022
93.0,Colombia El Paraiso Floral Lychee,"Floral-toned, richly sweet-savory. Black cherry, dark chocolate, marjoram, sandalwood, agave syrup in aroma and cup. Sweetly tart structure with brisk acidity; syrupy-smooth mouthfeel. The finish leads with notes of black cherry, rounding to cocoa tones in the long.",Price: NT$700/8 ounces, Oct 2022
93.0,Open Country Cafe Series,"Crisply chocolaty, richly sweet. Pear, baking chocolate, magnolia, cashew, marjoram in aroma and cup. Sweet-toned structure with brisk acidity; plush, creamy mouthfeel. The sweetly nutty finish is supported by magnolia and baking chocolate.",Price: $18.00/12 ounces, Oct 2022
93.0,Backwoods Espresso,"Evaluated as espresso. Rich-toned, deeply chocolaty. Dark chocolate, agave syrup, pomegranate nectar, almond brittle, cedar in aroma and small cup. Crisp, syrupy mouthfeel; chocolaty-sweet finish with undertones of almond and cedar. In cappuccino-scaled milk, dark chocolate notes dominate and a freesia-like spicy floral note emerges.",Price: $17.50/12 ounces, Oct 2022
94.0,Costa Rica Cerro Dragon Geisha Honey,"Delicately sweet-tart, balanced. Guava, macadamia nut, lemon verbena, cocoa nib, oak forest notes in aroma and cup. Sweetly tart structure with high-toned, balanced acidity; crisp, silky mouthfeel. The finish consolidates to notes of cocoa-toned guava with sweet herb undertones.",Price: $30.00/12 ounces, Oct 2022
96.0,Guatemala Washed El Injerto EI05 Mocca,"Exceptionally balanced, elegant, resonantly spice-toned. Red currant, butterscotch, hazelnut butter, honeysuckle, sandalwood in aroma and cup. Sweet-toned structure with sweetly tart, vivacious acidity; lively, creamy-smooth mouthfeel. The long, resonant finish carries over all the aromas and flavors of the cup.",$1200/4 ounces, Oct 2022
95.0,Taiwan Natural Alishan Zhuo-Wu Geisha,"Richly fruit-toned, deeply chocolaty. Dried raspberry, dark chocolate, pink peppercorn, amber in aroma and cup. Sweet-tart structure with juicy acidity; delicate, silky-smooth mouthfeel. The finish, centered around chocolate and berry notes, is rich, resonant and long.",$600/50 grams, Oct 2022
95.0,Ethiopia Natural Guji Uraga Tome 74110 Lot K06,"Richly sweet-tart, fruity and juicy. Dried pineapple, dark chocolate, frankincense, wisteria, pistachio in aroma and cup. Richly sweet-savory structure with high-toned acidity; syrupy, viscous mouthfeel. The fruit-driven finish is complicated by notes of wisteria and dark chocolate.",$325/8 ounces, Oct 2022
93.0,Honduras Washed Amucap Espresso,"Evaluated as espresso. Dark chocolate, cashew butter, pink grapefruit zest, black cherry, cedar in aroma and small cup. Crisp, velvety mouthfeel; sweetly chocolaty and nut-toned finish. In three parts milk, chocolate and nut impulses harmonize.",$200/8 ounces, Oct 2022
94.0,Kenya Gathaithi AA,"Rich-toned, complex. Blackberry, dark chocolate, magrut lime leaf, fresh-cut cedar, narcissus in aroma and cup. Balanced, sweetly tart structure with juicy-bright acidity; plush, creamy mouthfeel. The long finish consolidates to blackberry and dark chocolate notes with hints of pink peppercorn.",Price: $14.00/250 grams, Oct 2022
92.0,Ethiopia Hambela Dabaye,"Delicately tart, sweetly herbaceous. Baking chocolate, red grape, lemon verbena, cedar, cane sugar in aroma and cup. Crisply sweet-tart with brisk acidity; syrupy-smooth mouthfeel. The sweetly herbaceous finish centers around notes of lemon verbena and cane sugar with cedar undertones.",Price: $13.00/250 grams, Oct 2022
92.0,Ethiopia Biloya Washed G1,"Crisply sweet-savory, spice-toned. Baking chocolate, black cherry, freesia, lemongrass, fresh-cut fir in aroma and cup. Sweetly savory structure with gentle acidity; velvety-smooth mouthfeel. The resonant finish consolidates to notes of crisp chocolate and lemongrass.",$450/200 grams, Oct 2022
92.0,Ethiopia Benti Nenka Dry Process,"Crisply fruit-toned. Dried red apple, magnolia, almond, orange zest, oak in aroma and cup. Sweet-tart structure with brisk acidity; lightly satiny mouthfeel. Orange zest and almond notes lead the subtle, satisfying finish.",Price: $13.00/250 grams, Oct 2022
92.0,Ethiopia Birbisakela Washed G1,"Delicately floral-toned. Wisteria, pear, maple syrup, almond, lime zest in aroma and cup. Crisply sweet with vibrant acidity; lightly satiny mouthfeel. Almond and pear notes lead the gentle, pleasing finish.",$500/200 grams, Oct 2022
93.0,Ethiopia Sidamo Bensa Washed G1,"Richly fruit-driven, invitingly aromatic. Lychee, violet, cocoa nib, thyme, agave syrup in aroma and cup. Sweet-savory structure with bittersweet acidity; full, syrupy-smooth mouthfeel. The finish centers around notes of lychee and thyme with cocoa undertones.",$450/200 grams, Oct 2022
90.0,Shut-Eye Decaf,"Deeply sweet, wood-framed. Agave syrup, fresh-cut oak, grapefruit zest, cocoa powder, date in aroma and cup. Sweet-savory structure with quiet acidity; very full, syrupy mouthfeel. The finish consolidates to notes of oak and agave syrup.",Price: $13.00/250 grams, Oct 2022
95.0,Ethiopia Guji Uraga Tobutu Tuta G1 Experimental LOT 181NA2021,"Delicately fruity, crisply high-toned. Wild strawberry, cocoa nib, lychee, bergamot, sandalwood in aroma and cup. Sweet-toned structure with gently bright acidity; satiny, viscous mouthfeel. The crisp, cocoa-driven finish is supported by hints of strawberry.",Price: $12.50/100 grams, Oct 2022
93.0,Costa Rica La Toboba Red Honey,"Brightly sweet, richly resonant. Red grape, cashew butter, agave syrup, fresh-cut oak, honeysuckle in aroma and cup. Sweet structure with juicy acidity; lightly satiny mouthfeel. The finish centers around suggestions of cashew and grape.",Price: $25.00/12 ounces, Oct 2022
